id,name,address,city,state,zip,longitude,latitude
940,1428 S. Presa St.,1428 S. Presa St,San Antonio,Texas,78210,-98.484064,29.406445
941,Rancho 181,13514 US-181,San Antonio,Texas,78223,-98.404748,29.315671
942,The 4 Way Bar and Grill,9743 FM 1283,Lakehills,Texas,78063,-98.935864,29.723557
943,Mrs. Samuel J. Perkins (House),4303 Blanco Rd.,,,78212,37.447471,33.461329
944,San Antonio's Opportunities Industrialization Center,712 S Flores,San Antonio,Texas,78204,-98.49748,29.41618
945,321 Max,2812 NE Interstate 410 Loop,San Antonio,Texas,78217,-98.427862,29.531482
946,Tejano Explosion 2015,1000 W. Commerce St,,,,119.8679974,-0.8957793
947,Tejano Explosion, 700 West Houston St,San Antonio,Texas,78207,-98.497785,29.416491
948,500 Block Madison,500 Madison St,San Antonio,Texas,78204,-98.49398,29.412
949,500 Carolina Street,500 Carolina St,San Antonio,Texas,78210,-98.478595,29.405172
950,801 West Russell Place,801 W Russell Pl,San Antonio,Texas,78212,-98.502925,29.451301
951,Agudas Achim Synagogue,St Cloud & Donaldson Ave,San Antonio,Texas,78228,-98.5492778,29.4648582
952,Villa Fontana Ballroom,330 E Nueva St,San Antonio,Texas,78205,-98.490961,29.421164
953,Rocky's,107 Terrell Plaza,San Antonio,Texas,78209,-98.494675,29.36782
954,Rocky Joe's-Kerrville,1718 Sidney Baker St,Kerrville,Texas,78028,-99.123815,30.062569
955,Schreiner University,2100 Memorial Blvd,Kerrville,Texas,78208,-99.129379,30.029332
956,Farmers Market,N Santa Rosa St and W Commerce St,San Antonio,Texas,78207,-62.184068,16.653923
957,Instituto Cultural Mexicano,600 Hemisfair Plaza Way,San Antonio,Texas,78205,-98.485485,29.419375
958,Blossom Athletic Center,12002 Jones Maltsberger Rd,San Antonio,Texas,78216,-98.466249,29.548031
959,The Public Theater of San Antonio,800 W Ashby Pl,San Antonio,Texas,78212,-98.502522,29.448197
960,St. Mary's University,1 Camino Santa Maria,San Antonio,Texas,78228,-98.564122,29.453442
961,Baptist Temple Church,901 E Drexel ,San Antonio,Texas,78210,-98.456272,29.400786
962,Chapel of the Incarnate Word,4503 Broadway,San Antonio,Texas,78209,-98.467167,29.461668
963,Incarnate Word High School,727 E Hildbrand Ave,San Antonio,Texas,78212,-98.475947,29.466464
964,San Antonio Music Company,415 N Main Ave,San Antonio,Texas,78205,-98.494206,29.42875
965,St. Henry's Catholic Church,1619 S Flores St,San Antonio,Texas,78204,,
966,St. Luke's Episcopal Church,11 St Lukes Ln,San Antonio,Texas,78209,-98.47963,29.48488
967,University of Texas Health Science Center at San Antonio - UT Health San Antonio,7703 Floyd Curl Dr,San Antonio,Texas,78229,-98.573526,29.508487
968,San Antonio Raceway,3641 S Santa Clara  Rd,Marion,Texas,78124,-98.137549,29.522272
969,Hemisfair Theatre for the Performing Arts,434 S Alamo St,San Antonio,Texas,78205,-98.487966,29.419552
970,Don Strange Ranch,103 Waring Welfare Rd,Boerne,Texas,78006,-98.785587,29.889198
971,San Fernando Cathedral,115 Main Plaza,San Antonio,Texas,78205,-98.492959,29.424739
972,St. Anthony Hotel,300 E Travis St,San Antonio,Texas,78205,-98.489474,29.427267
973,The Warehouse Music Venue,1305 E. Houston St.,San Antonio,Texas,78205,-98.477108,29.425226
974,Carmens de la Calle,720 E Mistletoe Ave,San Antonio,Texas,78212,-98.49126,29.452192
