Month,Day,Year,Venue,Event_Artists,Artist_Formula,Event_Formulas,Index
September,10,1857,St. Mary's Catholic Church,French Mountaineer Singers,French Mountaineer Singers,,1
June,25,1869,Menger Hotel,General Mason Farewell Party: San Antonio Brass Band,San Antonio Brass Band,General Mason Farewell Party,2
July,4,1874,San Pedro Park,San Antonio Brass Band,San Antonio Brass Band,,3
October,9,1874,"San Pedro Springs, Turner Hall",Tenth Texas Saengerfest,Tenth Texas Saengerfest,,4
October,10,1874,"Casino Hall, Turner Hall",Tenth Texas Saengerfest,Tenth Texas Saengerfest,,5
October,11,1874,"San Pedro Springs, Alamo Plaza, Casino Hall",Tenth Texas Saengerfest,Tenth Texas Saengerfest,,6
January,24,1883,Travis Park,Eighth Cavalry Band (conducted by Frank P. Hall),Eighth Cavalry Band (conducted by Frank P. Hall),,7
January,31,1883,Casino Hall,Fay Templeton and the Star Opera Company,Fay Templeton and the Star Opera Company,,8
February,1,1883,Casino Hall,Fay Templeton and the Star Opera Company,Fay Templeton and the Star Opera Company,,9
February,1,1883,Turner Hall,Charlotte Thompson,Charlotte Thompson,,10
February,2,1883,Turner Hall,Charlotte Thompson,Charlotte Thompson,,11
February,2,1883,Casino Hall,Eighth Cavalry Band,Eighth Cavalry Band,,12
February,3,1883,Turner Hall,Charlotte Thompson,Charlotte Thompson,,13
February,20,1883,Turner Hall,Lillian Spencer,Lillian Spencer,,14
February,21,1883,Turner Hall,Lillian Spencer,Lillian Spencer,,15
February,28,1883,Travis Park,Eighth Cavalry Band (conducted by Frank P. Hall),Eighth Cavalry Band (conducted by Frank P. Hall),,16
March,1,1883,Turner Hall,Angela Peralta,Angela Peralta,,17
March,3,1883,Turner Hall,Angela Peralta,Angela Peralta,,18
March,5,1883,Turner Hall,Angela Peralta,Angela Peralta,,19
March,7,1883,Turner Hall,Angela Peralta,Angela Peralta,,20
March,14,1883,Turner Hall,"Katie Putnam, Lena the Madcap",Katie Putnam,,21
March,14,1883,Turner Hall,"Katie Putnam, Lena the Madcap",Lena the Madcap,,21
March,22,1883,Turner Hall,"""Blind Tom"" Wiggins (piano)",Blind Tom Wiggins (piano),,22
March,23,1883,Turner Hall,"""Blind Tom"" Wiggins (piano)",Blind Tom Wiggins (piano),,23
March,24,1883,Turner Hall,"""Blind Tom"" Wiggins (piano)",Blind Tom Wiggins (piano),,24
March,24,1883,San Pedro Springs Park,San Pedro Springs Park Grand Opening: Eighth Cavalry Band,Eighth Cavalry Band,San Pedro Springs Park Grand Opening,25
April,1,1883,San Pedro Springs Park,Eighth Cavalry Band (conducted by Frank P. Hall),Eighth Cavalry Band (conducted by Frank P. Hall),,26
April,4,1883,Travis Park,Eighth Cavalry Band (conducted by Frank P. Hall),Eighth Cavalry Band (conducted by Frank P. Hall),,27
April,18,1883,Travis Park,Eighth Cavalry Band (conducted by Frank P. Hall),Eighth Cavalry Band (conducted by Frank P. Hall),,28
May,9,1883,Travis Park,Eighth Cavalry Band (conducted by Frank P. Hall),Eighth Cavalry Band (conducted by Frank P. Hall),,29
May,13,1883,Jonas' garden,Eighth Cavalry Band (conducted by Frank P. Hall),Eighth Cavalry Band (conducted by Frank P. Hall),,30
May,16,1883,Travis Park,Eighth Cavalry Band (conducted by Frank P. Hall),Eighth Cavalry Band (conducted by Frank P. Hall),,31
May,23,1883,Travis Park,Eighth Cavalry Band (conducted by Frank P. Hall),Eighth Cavalry Band (conducted by Frank P. Hall),,32
July,9,1883,Mission Garden,The Vienna Ladies,The Vienna Ladies,,33
July,10,1883,Mission Garden,The Vienna Ladies,The Vienna Ladies,,34
July,11,1883,Mission Garden,The Vienna Ladies,The Vienna Ladies,,35
July,12,1883,Mission Garden,The Vienna Ladies,The Vienna Ladies,,36
July,13,1883,Mission Garden,The Vienna Ladies,The Vienna Ladies,,37
July,14,1883,Mission Garden,The Vienna Ladies,The Vienna Ladies,,38
September,12,1883,Travis Park,Eighth Cavalry Band (conducted by Frank P. Hall),Eighth Cavalry Band (conducted by Frank P. Hall),,39
December,17,1883,Casino Hall,Ida Siddon's Mastadons,Ida Siddon's Mastadons,,40
December,18,1883,Casino Hall,Ida Siddon's Mastadons,Ida Siddon's Mastadons,,41
December,20,1883,Turner Hall,CD Hess English Opera Company,CD Hess English Opera Company,,42
December,21,1883,Turner Hall,CD Hess English Opera Company,CD Hess English Opera Company,,43
December,22,1883,Turner Hall,CD Hess English Opera Company,CD Hess English Opera Company,,44
December,24,1883,Casino Hall,Muldoon's Picnic Company,Muldoon's Picnic Company,,45
December,25,1883,Casino Hall,Muldoon's Picnic Company,Muldoon's Picnic Company,,46
January,26,1884,Casino Hall,Mechanics and Workingmen's Ball: Eighth Cavalry Band,Eighth Cavalry Band,Mechanics and Workingmen's Ball,47
February,22,1884,Casino Hall,"Mexican Social Club Grand Ball: Eighth Calvary Band, SA String Orchestra",Eighth Calvary Band,Mexican Social Club Grand Ball,48
February,22,1884,Casino Hall,"Mexican Social Club Grand Ball: Eighth Calvary Band, SA String Orchestra",SA String Orchestra,Mexican Social Club Grand Ball,48
March,5,1884,Casino Hall,Minnie Hank,Minnie Hank,,49
March,5,1884,Turner Hall,Miss Flora Moore,Miss Flora Moore,,50
March,6,1884,Turner Hall,Miss Flora Moore,Miss Flora Moore,,51
January,17,1885,Turner Hall,Eighth Cavalry Band,Eighth Cavalry Band,,52
May,13,1885,Travis Park,Eighth Cavalry Band,Eighth Cavalry Band,,53
January,20,1886,Travis Park,Eighth Cavalry Band,Eighth Cavalry Band,,54
January,24,1886,Krisch's Hall,Juan Silva Brass Band,Juan Silva Brass Band,,55
February,10,1886,Travis Park,Eighth Cavalry Band,Eighth Cavalry Band,,56
February,14,1886,Turner Hall,Annie Pixley,Annie Pixley,,57
February,16,1886,Turner Hall,Annie Pixley,Annie Pixley,,58
February,26,1886,St. Mark's Episcopal Church,Altar Society,Altar Society,,59
March,10,1886,Travis Park,Eighth Cavalry Band,Eighth Cavalry Band,,60
March,31,1886,Travis Park,Eighth Cavalry Band,Eighth Cavalry Band,,61
March,31,1886,Turner Opera House,Clara Louise Kellogg,Clara Louise Kellogg,,62
April,2,1886,Dr. Jones residence,Home Mission Society,Home Mission Society,,63
April,13,1886,First Presbyterian Church,Presbyterian Women's Concert,Presbyterian Women's Concert,,64
April,17,1886,Hartmann's Pavillion,Tyrolean Concert,Tyrolean Concert,,65
April,18,1886,Hartmann's Pavillion,Tyrolean Concert,Tyrolean Concert,,66
May,2,1886,Casino Hall,Maennerchor,Maennerchor,,67
May,14,1886,Casino Hall,Grand Children Concert,Grand Children Concert,,68
May,19,1886,Travis Park,Eighth Cavalry Band (conducted by Frank P. Hall),Eighth Cavalry Band (conducted by Frank P. Hall),,69
May,28,1886,Turner Hall,"Concert for the Confederate Soldiers' Home: Eighth Cavalry Band, Beethoven Maennerchor, Marie Lacoste, CH Mueller, Zuliema Garcia, HW Adae",Eighth Cavalry Band,Concert for the Confederate Soldiers' Home,70
May,28,1886,Turner Hall,"Concert for the Confederate Soldiers' Home: Eighth Cavalry Band, Beethoven Maennerchor, Marie Lacoste, CH Mueller, Zuliema Garcia, HW Adae",Beethoven Maennerchor,Concert for the Confederate Soldiers' Home,70
May,28,1886,Turner Hall,"Concert for the Confederate Soldiers' Home: Eighth Cavalry Band, Beethoven Maennerchor, Marie Lacoste, CH Mueller, Zuliema Garcia, HW Adae",Marie Lacoste,Concert for the Confederate Soldiers' Home,70
May,28,1886,Turner Hall,"Concert for the Confederate Soldiers' Home: Eighth Cavalry Band, Beethoven Maennerchor, Marie Lacoste, CH Mueller, Zuliema Garcia, HW Adae",CH Mueller,Concert for the Confederate Soldiers' Home,70
May,28,1886,Turner Hall,"Concert for the Confederate Soldiers' Home: Eighth Cavalry Band, Beethoven Maennerchor, Marie Lacoste, CH Mueller, Zuliema Garcia, HW Adae",Zuliema Garcia,Concert for the Confederate Soldiers' Home,70
May,28,1886,Turner Hall,"Concert for the Confederate Soldiers' Home: Eighth Cavalry Band, Beethoven Maennerchor, Marie Lacoste, CH Mueller, Zuliema Garcia, HW Adae",HW Adae,Concert for the Confederate Soldiers' Home,70
June,8,1886,Mission Garden,Salzer-Sternheim,Salzer-Sternheim,,71
June,9,1886,PF Simpson residence,Fannie Hunt D'Alma,Fannie Hunt D'Alma,,72
June,9,1886,Travis Park,Eighth Cavalry Band,Eighth Cavalry Band,,73
July,14,1886,Casino Hall,"Bastille Day celebration: Marie Lacoste, Nita Lacoste, Ferninand Lacoste, MGA DePaul,",Marie Lacoste,Bastille Day celebration,74
July,14,1886,Casino Hall,"Bastille Day celebration: Marie Lacoste, Nita Lacoste, Ferninand Lacoste, MGA DePaul,",Nita Lacoste,Bastille Day celebration,74
July,14,1886,Casino Hall,"Bastille Day celebration: Marie Lacoste, Nita Lacoste, Ferninand Lacoste, MGA DePaul,",Ferninand Lacoste,Bastille Day celebration,74
July,14,1886,Casino Hall,"Bastille Day celebration: Marie Lacoste, Nita Lacoste, Ferninand Lacoste, MGA DePaul,",MGA DePaul,Bastille Day celebration,74
July,28,1886,Travis Park,Eighth Cavalry Band (conducted by Frank P. Hall),Eighth Cavalry Band (conducted by Frank P. Hall),,75
August,1,1886,Mission Garden,Orchestra,Orchestra,,76
August,8,1886,Mission Garden,"Minna Bergmann, Swiss Quartet",Minna Bergmann,,77
August,8,1886,Mission Garden,"Minna Bergmann, Swiss Quartet",Swiss Quartet,,77
August,26,1886,Krisch's Hall,Abram Grant Concert Club,Abram Grant Concert Club,,78
August,27,1886,Mission Garden,Carl Beck Orchestra,Carl Beck Orchestra,,79
August,28,1886,Mission Garden,Carl Beck Orchestra,Carl Beck Orchestra,,80
August,29,1886,Sommers Garden,Eighth Cavalry Band,Eighth Cavalry Band,,81
September,1,1886,Casino Hall,"CF Dennee, Helena Jones, Hortense Jones, Florence Finlayson",CF Dennee,,82
September,1,1886,Casino Hall,"CF Dennee, Helena Jones, Hortense Jones, Florence Finlayson",Helena Jones,,82
September,1,1886,Casino Hall,"CF Dennee, Helena Jones, Hortense Jones, Florence Finlayson",Hortense Jones,,82
September,1,1886,Casino Hall,"CF Dennee, Helena Jones, Hortense Jones, Florence Finlayson",Florence Finlayson,,82
September,4,1886,Mahncke's Garden,Eighth Cavalry Band (conducted by Wilhelm Marx),Eighth Cavalry Band (conducted by Wilhelm Marx),,83
September,5,1886,Mahncke's Garden,Eighth Cavalry Band (conducted by Wilhelm Marx),Eighth Cavalry Band (conducted by Wilhelm Marx),,84
September,5,1886,Mahncke's Garden,Carl Beck Orchestra,Carl Beck Orchestra,,85
September,5,1886,Scholz's Garden,"FJ Mangan, Augustin Salas",FJ Mangan,,86
September,5,1886,Scholz's Garden,"FJ Mangan, Augustin Salas",Augustin Salas,,86
September,6,1886,Mahncke's Garden,Carl Beck Orchestra,Carl Beck Orchestra,,87
September,7,1886,Mahncke's Garden,Carl Beck Orchestra,Carl Beck Orchestra,,88
September,8,1886,Mahncke's Garden,Carl Beck Orchestra,Carl Beck Orchestra,,89
September,9,1886,Mahncke's Garden,Carl Beck Orchestra,Carl Beck Orchestra,,90
September,10,1886,Mahncke's Garden,Carl Beck Orchestra,Carl Beck Orchestra,,91
September,11,1886,Mahncke's Garden,Carl Beck Orchestra,Carl Beck Orchestra,,92
September,11,1886,Mahncke's Garden,Eighth Cavalry Band (conducted by Wilhelm Marx),Eighth Cavalry Band (conducted by Wilhelm Marx),,93
September,12,1886,Mahncke's Garden,Eighth Cavalry Band (conducted by Wilhelm Marx),Eighth Cavalry Band (conducted by Wilhelm Marx),,94
October,12,1886,Turner Hall,"Madison Square church benefit: Miss Schleuning, Turner Hall Orchestra",Miss Schleuning,Madison Square church benefit,95
October,12,1886,Turner Hall,"Madison Square church benefit: Miss Schleuning, Turner Hall Orchestra",Turner Hall Orchestra,Madison Square church benefit,95
October,13,1886,Travis Park,Eighth Cavalry Band (conducted by Wilhelm Marx),Eighth Cavalry Band (conducted by Wilhelm Marx),,96
October,23,1886,Mission Garden,Eighth Cavalry Band (conducted by Wilhelm Marx),Eighth Cavalry Band (conducted by Wilhelm Marx),,97
November,6,1886,Casino Hall,Young Men's Benovolent Association Ball: City Band,City Band,Young Men's Benovolent Association Ball,98
December,6,1886,Turner Hall,New Orleans Church Concert Choir Company,New Orleans Church Concert Choir Company,,99
December,10,1886,Turner Hall,"First Baptist Church benefit: Lannie and Illa Alexander, Fannie Rhodes, Zulema Garcia, Rose Hartwick Thorpe, Mary Hernandez, Lula Moore, Enda Truax, Jessie Bell, Edgar Gordon, Frankie Lewis, Edward Oakley, JM Carr, Riley Gordon, Willie Herft",Lannie and Illa Alexander,First Baptist Church benefit,100
December,10,1886,Turner Hall,"First Baptist Church benefit: Lannie and Illa Alexander, Fannie Rhodes, Zulema Garcia, Rose Hartwick Thorpe, Mary Hernandez, Lula Moore, Enda Truax, Jessie Bell, Edgar Gordon, Frankie Lewis, Edward Oakley, JM Carr, Riley Gordon, Willie Herft",Fannie Rhodes,First Baptist Church benefit,100
December,10,1886,Turner Hall,"First Baptist Church benefit: Lannie and Illa Alexander, Fannie Rhodes, Zulema Garcia, Rose Hartwick Thorpe, Mary Hernandez, Lula Moore, Enda Truax, Jessie Bell, Edgar Gordon, Frankie Lewis, Edward Oakley, JM Carr, Riley Gordon, Willie Herft",Zulema Garcia,First Baptist Church benefit,100
December,10,1886,Turner Hall,"First Baptist Church benefit: Lannie and Illa Alexander, Fannie Rhodes, Zulema Garcia, Rose Hartwick Thorpe, Mary Hernandez, Lula Moore, Enda Truax, Jessie Bell, Edgar Gordon, Frankie Lewis, Edward Oakley, JM Carr, Riley Gordon, Willie Herft",Rose Hartwick Thorpe,First Baptist Church benefit,100
December,10,1886,Turner Hall,"First Baptist Church benefit: Lannie and Illa Alexander, Fannie Rhodes, Zulema Garcia, Rose Hartwick Thorpe, Mary Hernandez, Lula Moore, Enda Truax, Jessie Bell, Edgar Gordon, Frankie Lewis, Edward Oakley, JM Carr, Riley Gordon, Willie Herft",Mary Hernandez,First Baptist Church benefit,100
December,10,1886,Turner Hall,"First Baptist Church benefit: Lannie and Illa Alexander, Fannie Rhodes, Zulema Garcia, Rose Hartwick Thorpe, Mary Hernandez, Lula Moore, Enda Truax, Jessie Bell, Edgar Gordon, Frankie Lewis, Edward Oakley, JM Carr, Riley Gordon, Willie Herft",Lula Moore,First Baptist Church benefit,100
December,10,1886,Turner Hall,"First Baptist Church benefit: Lannie and Illa Alexander, Fannie Rhodes, Zulema Garcia, Rose Hartwick Thorpe, Mary Hernandez, Lula Moore, Enda Truax, Jessie Bell, Edgar Gordon, Frankie Lewis, Edward Oakley, JM Carr, Riley Gordon, Willie Herft",Enda Truax,First Baptist Church benefit,100
December,10,1886,Turner Hall,"First Baptist Church benefit: Lannie and Illa Alexander, Fannie Rhodes, Zulema Garcia, Rose Hartwick Thorpe, Mary Hernandez, Lula Moore, Enda Truax, Jessie Bell, Edgar Gordon, Frankie Lewis, Edward Oakley, JM Carr, Riley Gordon, Willie Herft",Jessie Bell,First Baptist Church benefit,100
December,10,1886,Turner Hall,"First Baptist Church benefit: Lannie and Illa Alexander, Fannie Rhodes, Zulema Garcia, Rose Hartwick Thorpe, Mary Hernandez, Lula Moore, Enda Truax, Jessie Bell, Edgar Gordon, Frankie Lewis, Edward Oakley, JM Carr, Riley Gordon, Willie Herft",Edgar Gordon,First Baptist Church benefit,100
December,10,1886,Turner Hall,"First Baptist Church benefit: Lannie and Illa Alexander, Fannie Rhodes, Zulema Garcia, Rose Hartwick Thorpe, Mary Hernandez, Lula Moore, Enda Truax, Jessie Bell, Edgar Gordon, Frankie Lewis, Edward Oakley, JM Carr, Riley Gordon, Willie Herft",Frankie Lewis,First Baptist Church benefit,100
December,10,1886,Turner Hall,"First Baptist Church benefit: Lannie and Illa Alexander, Fannie Rhodes, Zulema Garcia, Rose Hartwick Thorpe, Mary Hernandez, Lula Moore, Enda Truax, Jessie Bell, Edgar Gordon, Frankie Lewis, Edward Oakley, JM Carr, Riley Gordon, Willie Herft",Edward Oakley,First Baptist Church benefit,100
December,10,1886,Turner Hall,"First Baptist Church benefit: Lannie and Illa Alexander, Fannie Rhodes, Zulema Garcia, Rose Hartwick Thorpe, Mary Hernandez, Lula Moore, Enda Truax, Jessie Bell, Edgar Gordon, Frankie Lewis, Edward Oakley, JM Carr, Riley Gordon, Willie Herft",JM Carr,First Baptist Church benefit,100
December,10,1886,Turner Hall,"First Baptist Church benefit: Lannie and Illa Alexander, Fannie Rhodes, Zulema Garcia, Rose Hartwick Thorpe, Mary Hernandez, Lula Moore, Enda Truax, Jessie Bell, Edgar Gordon, Frankie Lewis, Edward Oakley, JM Carr, Riley Gordon, Willie Herft",Riley Gordon,First Baptist Church benefit,100
December,10,1886,Turner Hall,"First Baptist Church benefit: Lannie and Illa Alexander, Fannie Rhodes, Zulema Garcia, Rose Hartwick Thorpe, Mary Hernandez, Lula Moore, Enda Truax, Jessie Bell, Edgar Gordon, Frankie Lewis, Edward Oakley, JM Carr, Riley Gordon, Willie Herft",Willie Herft,First Baptist Church benefit,100
August,18,1886,Travis Park,Eighth Cavalry Band (conducted by Wilhelm Marx),Eighth Cavalry Band (conducted by Wilhelm Marx),,101
March,12,1886,Casino Hall,"LF Deane benefit concert: Mrs. F Herff,  Miss Landa, LF Deane, Miss Lacoste, Mr. Hall, Mr. F. Favre, Mr. Ellwood, TP Knight",Mrs. F Herff,LF Deane benefit concert,102
March,12,1886,Casino Hall,"LF Deane benefit concert: Mrs. F Herff,  Miss Landa, LF Deane, Miss Lacoste, Mr. Hall, Mr. F. Favre, Mr. Ellwood, TP Knight",Miss Landa,LF Deane benefit concert,102
March,12,1886,Casino Hall,"LF Deane benefit concert: Mrs. F Herff,  Miss Landa, LF Deane, Miss Lacoste, Mr. Hall, Mr. F. Favre, Mr. Ellwood, TP Knight",LF Deane,LF Deane benefit concert,102
March,12,1886,Casino Hall,"LF Deane benefit concert: Mrs. F Herff,  Miss Landa, LF Deane, Miss Lacoste, Mr. Hall, Mr. F. Favre, Mr. Ellwood, TP Knight",Miss Lacoste,LF Deane benefit concert,102
March,12,1886,Casino Hall,"LF Deane benefit concert: Mrs. F Herff,  Miss Landa, LF Deane, Miss Lacoste, Mr. Hall, Mr. F. Favre, Mr. Ellwood, TP Knight",Mr. Hall,LF Deane benefit concert,102
March,12,1886,Casino Hall,"LF Deane benefit concert: Mrs. F Herff,  Miss Landa, LF Deane, Miss Lacoste, Mr. Hall, Mr. F. Favre, Mr. Ellwood, TP Knight",Mr. F. Favre,LF Deane benefit concert,102
March,12,1886,Casino Hall,"LF Deane benefit concert: Mrs. F Herff,  Miss Landa, LF Deane, Miss Lacoste, Mr. Hall, Mr. F. Favre, Mr. Ellwood, TP Knight",Mr. Ellwood,LF Deane benefit concert,102
March,12,1886,Casino Hall,"LF Deane benefit concert: Mrs. F Herff,  Miss Landa, LF Deane, Miss Lacoste, Mr. Hall, Mr. F. Favre, Mr. Ellwood, TP Knight",TP Knight,LF Deane benefit concert,102
April,19,1900,Turner Hall,"Knight Templar's Ball: Miss Waizslavsick, Raphael Diaz (piano), Mr. N. Washer",Miss Waizslavsick,Knight Templar's Ball,103
April,19,1900,Turner Hall,"Knight Templar's Ball: Miss Waizslavsick, Raphael Diaz (piano), Mr. N. Washer",Raphael Diaz (piano),Knight Templar's Ball,103
April,19,1900,Turner Hall,"Knight Templar's Ball: Miss Waizslavsick, Raphael Diaz (piano), Mr. N. Washer",Mr. N. Washer,Knight Templar's Ball,103
April,28,1902,Beethoven Hall,St. Mary's College Golden Jubilee: St. Mary's Alumni,St. Mary's Alumni,St. Mary's College Golden Jubilee,104
April,22,1906,Landa Park (New Braunfels),"Galveston Singing Society, Houston Singing Society, Herb and Lewis Military Band",Galveston Singing Society,,105
April,22,1906,Landa Park (New Braunfels),"Galveston Singing Society, Houston Singing Society, Herb and Lewis Military Band",Houston Singing Society,,105
April,22,1906,Landa Park (New Braunfels),"Galveston Singing Society, Houston Singing Society, Herb and Lewis Military Band",Herb and Lewis Military Band,,105
May,16,1906,Casino Hall,Tuesday Musical Auzilliary Chorus,Tuesday Musical Auzilliary Chorus,,106
May,19,1906,Casino Hall,Mulholland School student concert,Mulholland School student concert,,107
July,26,1906,Casino Hall,Gilbert Schramm,Gilbert Schramm,,108
March,21,1907,Grand Opera House,Nat C. Goodwin,Nat C. Goodwin,,109
April,24,1907,Casino Hall,St. Henry's student program,St. Henry's student program,,110
January,19,1908,1902 Nightclub,Sgt. Holtz sendoff: Ninth Infantry Army Band,Ninth Infantry Army Band,Sgt. Holtz sendoff,111
January,28,1908,Grand Opera House,Ninth Infantry Vaudeville Show,Ninth Infantry Vaudeville Show,,112
January,28,1908,Casino Hall,Adolfe Tirindelli,Adolfe Tirindelli,,113
January,31,1908,Grand Opera House,Richards and Pringle's Famous Georgia Minstrels,Richards and Pringle's Famous Georgia Minstrels,,114
May,20,1908,Casino Hall,Miss Wasson's school student concert,Miss Wasson's school student concert,,115
May,27,1908,Casino Hall,St Mary's Hall student concert,St Mary's Hall student concert,,116
February,24,1909,Fort Sam Houston,Ninth Infantry dance: Ninth Infantry Division Band,Ninth Infantry Division Band,Ninth Infantry dance,117
September,23,1909,Jourdanton,Jourdanton Land Auction: Artz's San Antonio Brass Band,Artz's San Antonio Brass Band,Jourdanton Land Auction,118
September,24,1909,Jourdanton,Jourdanton Land Auction: Artz's San Antonio Brass Band,Artz's San Antonio Brass Band,Jourdanton Land Auction,119
September,25,1909,Jourdanton,Jourdanton Land Auction: Artz's San Antonio Brass Band,Artz's San Antonio Brass Band,Jourdanton Land Auction,120
February,24,1910,Royal Theater,"Jarvis Mann and Jurande, Lloyd and St. Claire, The Goyt Trio, Walter and May, Royalscope, Royal Orchestra",Jarvis Mann and Jurande,,121
February,24,1910,Royal Theater,"Jarvis Mann and Jurande, Lloyd and St. Claire, The Goyt Trio, Walter and May, Royalscope, Royal Orchestra",Lloyd and St. Claire,,121
February,24,1910,Royal Theater,"Jarvis Mann and Jurande, Lloyd and St. Claire, The Goyt Trio, Walter and May, Royalscope, Royal Orchestra",The Goyt Trio,,121
February,24,1910,Royal Theater,"Jarvis Mann and Jurande, Lloyd and St. Claire, The Goyt Trio, Walter and May, Royalscope, Royal Orchestra",Walter and May,,121
February,24,1910,Royal Theater,"Jarvis Mann and Jurande, Lloyd and St. Claire, The Goyt Trio, Walter and May, Royalscope, Royal Orchestra",Royalscope,,121
February,24,1910,Royal Theater,"Jarvis Mann and Jurande, Lloyd and St. Claire, The Goyt Trio, Walter and May, Royalscope, Royal Orchestra",Royal Orchestra,,121
March,2,1910,Kirkpatrick residence,San Antonio Musical Club: Mr. and Mrs. Kirkpatrick,Mr. and Mrs. Kirkpatrick,San Antonio Musical Club,122
November,28,1910,Grand Opera House,Aborn English Grand Opera Company,Aborn English Grand Opera Company,,123
November,29,1910,Grand Opera House,Aborn English Grand Opera Company,Aborn English Grand Opera Company,,124
November,30,1910,Grand Opera House,Aborn English Grand Opera Company,Aborn English Grand Opera Company,,125
December,1,1910,Grand Opera House,Aborn English Grand Opera Company,Aborn English Grand Opera Company,,126
December,20,1910,Grand Opera House,Bessie Abott and Bessie Abott Grand Opera Company,Bessie Abott and Bessie Abott Grand Opera Company,,127
December,21,1910,Grand Opera House,George Evans' Honey Boy Minstrels,George Evans' Honey Boy Minstrels,,128
February,6,1911,Grand Opera House,Maud Powell (violin),Maud Powell (violin),,129
February,6,1911,Royal Theater,"Frede West, Max and Max, Karl and Erma Gath, Stanley and Scanlon, Roy Mapes, Royal Orchestra",Frede West,,130
February,6,1911,Royal Theater,"Frede West, Max and Max, Karl and Erma Gath, Stanley and Scanlon, Roy Mapes, Royal Orchestra",Max and Max,,130
February,6,1911,Royal Theater,"Frede West, Max and Max, Karl and Erma Gath, Stanley and Scanlon, Roy Mapes, Royal Orchestra",Karl and Erma Gath,,130
February,6,1911,Royal Theater,"Frede West, Max and Max, Karl and Erma Gath, Stanley and Scanlon, Roy Mapes, Royal Orchestra",Stanley and Scanlon,,130
February,6,1911,Royal Theater,"Frede West, Max and Max, Karl and Erma Gath, Stanley and Scanlon, Roy Mapes, Royal Orchestra",Roy Mapes,,130
February,6,1911,Royal Theater,"Frede West, Max and Max, Karl and Erma Gath, Stanley and Scanlon, Roy Mapes, Royal Orchestra",Royal Orchestra,,130
February,9,1911,Grand Opera House,"Anna Pavlowa, Mikhail Mordkin, Imperial Russian Ballet",Anna Pavlowa,,131
February,9,1911,Grand Opera House,"Anna Pavlowa, Mikhail Mordkin, Imperial Russian Ballet",Mikhail Mordkin,,131
February,9,1911,Grand Opera House,"Anna Pavlowa, Mikhail Mordkin, Imperial Russian Ballet",Imperial Russian Ballet,,131
February,17,1911,Beethoven Hall,Symphony Orchestra,Symphony Orchestra,,132
March,3,1911,St. Anthony Hotel,Cecil Fanning (baritone),Cecil Fanning (baritone),,133
March,20,1911,St. Anthony Hotel,Virginie Sassard,Virginie Sassard,,134
March,20,1911,YMCA Auditorium,"Sophia Stephali, Bereniece Lathrop",Sophia Stephali,,135
March,20,1911,YMCA Auditorium,"Sophia Stephali, Bereniece Lathrop",Bereniece Lathrop,,135
March,21,1911,YMCA Auditorium,"Sophia Stephali, Bereniece Lathrop",Sophia Stephali,,136
March,21,1911,YMCA Auditorium,"Sophia Stephali, Bereniece Lathrop",Bereniece Lathrop,,136
March,29,1911,Beethoven Hall,Maenerchor,Maenerchor,,137
April,30,1911,Grand Opera House,Sullivan-Considine Vaudeville,Sullivan-Considine Vaudeville,,138
May,1,1911,Grand Opera House,Sullivan-Considine Vaudeville,Sullivan-Considine Vaudeville,,139
May,1,1911,Electric Park,Majestic Vaudeville,Majestic Vaudeville,,140
May,6,1911,Grand Opera House,Victor Herbert and his Orchestra,Victor Herbert and his Orchestra,,141
April,19,1911,Royal Theater,"Royalscope, The Ellises, Hyde and Raymond, Hayes and Clancey Twins, Harry Lake",Royalscope,,142
April,19,1911,Royal Theater,"Royalscope, The Ellises, Hyde and Raymond, Hayes and Clancey Twins, Harry Lake",The Ellises,,142
April,19,1911,Royal Theater,"Royalscope, The Ellises, Hyde and Raymond, Hayes and Clancey Twins, Harry Lake",Hyde and Raymond,,142
April,19,1911,Royal Theater,"Royalscope, The Ellises, Hyde and Raymond, Hayes and Clancey Twins, Harry Lake",Hayes and Clancey Twins,,142
April,19,1911,Royal Theater,"Royalscope, The Ellises, Hyde and Raymond, Hayes and Clancey Twins, Harry Lake",Harry Lake,,142
April,19,1911,Electric Park,Majestic Vaudeville,Majestic Vaudeville,,143
May,4,1911,San Pedro Park,Aurelio Flores band,Aurelio Flores band,,144
May,5,1911,San Pedro Park,Aurelio Flores band,Aurelio Flores band,,145
May,6,1911,Grand Opera House,Victor Herbert and his Orchestra,Victor Herbert and his Orchestra,,146
May,7,1911,Agudas Achim Synagogue,Rev. AA Rosenbloom (cantor),Rev. AA Rosenbloom (cantor),,147
May,15,1911,International Club,M. and Mme. Acunas,M. and Mme. Acunas,,148
May,17,1911,Beethoven Hall,New York Symphony Orchestra conducted by Walter Damrosch,New York Symphony Orchestra conducted by Walter Damrosch,,149
May,17,1911,Beethoven Hall,New York Symphony Orchestra conducted by Walter Damrosch,New York Symphony Orchestra conducted by Walter Damrosch,,150
May,12,1912,City Cemetery No. 4,Woodmen's Memorial Ceremony: San Antonio Brass Band,San Antonio Brass Band,Woodmen's Memorial Ceremony,151
June,12,1912,St. Joseph's Hall,St. Joseph's College Recital,St. Joseph's College Recital,,152
December,16,1912,The Plaza,"Vallecitas Leopards, Les Silvas, Grey Trio, Cait Brothers, Holden and Harron, Wright and Lawrence",Vallecitas Leopards,,153
