Month,Day,Year,Venue,Event_Artists,Artist_Formula,Event_Formulas,Index
April,16,1993,Comedy Tonight,Willie Tyler and Lester,Willie Tyler and Lester,,10410
April,16,1993,Freeman Coliseum,"La Semana Alegre : Snow, Passing Strangers, Laissez Faire, Sun-Day",Snow,La Semana Alegre,10411
April,16,1993,Freeman Coliseum,"La Semana Alegre : Snow, Passing Strangers, Laissez Faire, Sun-Day",Passing Strangers,La Semana Alegre,10411
April,16,1993,Freeman Coliseum,"La Semana Alegre : Snow, Passing Strangers, Laissez Faire, Sun-Day",Laissez Faire,La Semana Alegre,10411
April,16,1993,Freeman Coliseum,"La Semana Alegre : Snow, Passing Strangers, Laissez Faire, Sun-Day",Sun-Day,La Semana Alegre,10411
April,16,1993,Freeman Coliseum,"La Semana Alegre : Sawyer Brown, Chris LeDoux, Young Country, Oscar G y Grupo Sol",Sawyer Brown,La Semana Alegre,10412
April,16,1993,Freeman Coliseum,"La Semana Alegre : Sawyer Brown, Chris LeDoux, Young Country, Oscar G y Grupo Sol",Chris LeDoux,La Semana Alegre,10412
April,16,1993,Freeman Coliseum,"La Semana Alegre : Sawyer Brown, Chris LeDoux, Young Country, Oscar G y Grupo Sol",Young Country,La Semana Alegre,10412
April,16,1993,Freeman Coliseum,"La Semana Alegre : Sawyer Brown, Chris LeDoux, Young Country, Oscar G y Grupo Sol",Oscar G y Grupo Sol,La Semana Alegre,10412
April,17,1993,Comedy Tonight,Willie Tyler and Lester,Willie Tyler and Lester,,10413
April,17,1993,Freeman Coliseum,"La Semana Alegre : Spinal Tap, Mark Farner, Oz Knozz, Napoleon Machine Gun",Spinal Tap,La Semana Alegre,10414
April,17,1993,Freeman Coliseum,"La Semana Alegre : Spinal Tap, Mark Farner, Oz Knozz, Napoleon Machine Gun",Mark Farner,La Semana Alegre,10414
April,17,1993,Freeman Coliseum,"La Semana Alegre : Spinal Tap, Mark Farner, Oz Knozz, Napoleon Machine Gun",Oz Knozz,La Semana Alegre,10414
April,17,1993,Freeman Coliseum,"La Semana Alegre : Spinal Tap, Mark Farner, Oz Knozz, Napoleon Machine Gun",Napoleon Machine Gun,La Semana Alegre,10414
April,17,1993,Freeman Coliseum,"La Semana Alegre : Mazz, Tierra Tejana, Rod Nichols Revue,  Jody Jenkins, Carolyn Steele",Mazz,La Semana Alegre,10415
April,17,1993,Freeman Coliseum,"La Semana Alegre : Mazz, Tierra Tejana, Rod Nichols Revue,  Jody Jenkins, Carolyn Steele",Tierra Tejana,La Semana Alegre,10415
April,17,1993,Freeman Coliseum,"La Semana Alegre : Mazz, Tierra Tejana, Rod Nichols Revue,  Jody Jenkins, Carolyn Steele",Rod Nichols Revue,La Semana Alegre,10415
April,17,1993,Freeman Coliseum,"La Semana Alegre : Mazz, Tierra Tejana, Rod Nichols Revue,  Jody Jenkins, Carolyn Steele",Jody Jenkins,La Semana Alegre,10415
April,17,1993,Freeman Coliseum,"La Semana Alegre : Mazz, Tierra Tejana, Rod Nichols Revue,  Jody Jenkins, Carolyn Steele",Carolyn Steele,La Semana Alegre,10415
April,17,1993,Sunken Garden Theater,"A Taste of New Orleans: Latin Player'z, Algiers Brass Band, Little Willie Davis & Zydeco Band, Lee Thomason Quintet, Trinity University Jazz Band",Latin Player'z,A Taste of New Orleans,10416
April,17,1993,Sunken Garden Theater,"A Taste of New Orleans: Latin Player'z, Algiers Brass Band, Little Willie Davis & Zydeco Band, Lee Thomason Quintet, Trinity University Jazz Band",Algiers Brass Band,A Taste of New Orleans,10416
April,17,1993,Sunken Garden Theater,"A Taste of New Orleans: Latin Player'z, Algiers Brass Band, Little Willie Davis & Zydeco Band, Lee Thomason Quintet, Trinity University Jazz Band",Little Willie Davis & Zydeco Band,A Taste of New Orleans,10416
April,17,1993,Sunken Garden Theater,"A Taste of New Orleans: Latin Player'z, Algiers Brass Band, Little Willie Davis & Zydeco Band, Lee Thomason Quintet, Trinity University Jazz Band",Lee Thomason Quintet,A Taste of New Orleans,10416
